자치구_코드_명,면적(km²),지하철역_수,지하철역_밀도(개/km²)
강남구,39.45862926,271,6.867952716
강동구,24.53786725,202,8.232174295
강북구,23.62058854,37,1.566430063
강서구,227.0844125,214,0.942380843
관악구,29.56322028,146,4.938568891
광진구,17.03593091,91,5.341651154
구로구,20.08336092,219,10.90454934
금천구,13.01075027,197,15.14132513
노원구,35.56399152,205,5.764257363
도봉구,20.68938341,84,4.060053329
동대문구,14.26648863,91,6.378584272
동작구,16.36361729,89,5.438895228
마포구,23.84485176,151,6.332603847
서대문구,17.67470637,82,4.639398149
서초구,46.88470964,285,6.078740856
성동구,16.80437702,39,2.320823911
성북구,24.56023626,75,3.053716553
송파구,33.82682444,291,8.602640207
양천구,17.4500301,161,9.226345117
영등포구,24.50571791,188,7.671678939
용산구,21.87619702,88,4.022637021
은평구,29.77388981,220,7.389024457
종로구,23.97270928,78,3.253699825
중구,267.4569971,179,0.669266469
중랑구,18.52317741,138,7.450125696
